timestamp,open,high,low,close,volume
2023-07-17,2390.0500,2459.0000,2390.0500,2408.3000,349216
2023-07-14,2378.5000,2384.5000,2340.0000,2376.8500,150909
2023-07-13,2390.0500,2406.0000,2355.9500,2362.6500,187964
2023-07-12,2426.0500,2432.0000,2381.0000,2388.8500,75466
2023-07-11,2420.0000,2444.5000,2388.3000,2421.8000,94403
2023-07-10,2388.0000,2461.9000,2355.0000,2410.1500,155009
2023-07-07,2394.0000,2409.9500,2367.9500,2379.0000,156433
2023-07-06,2398.9500,2428.0000,2390.0500,2403.4000,99082
2023-07-05,2387.7000,2412.0000,2373.8000,2398.9500,162243
2023-07-04,2398.0000,2414.0000,2373.8000,2387.7000,100983
2023-07-03,2400.0000,2417.0000,2372.9000,2384.0500,114244
2023-06-30,2443.9500,2443.9500,2350.0500,2383.6000,639544
2023-06-28,2315.9500,2419.0000,2292.8500,2403.6500,440819
2023-06-27,2331.0500,2344.3000,2270.4000,2281.7500,337015
2023-06-26,2222.5500,2336.6500,2172.4500,2295.7000,476066
2023-06-23,2392.0000,2392.0000,2162.8500,2233.1000,874859
2023-06-22,2415.1000,2448.5000,2360.0000,2395.9000,306669
2023-06-21,2420.0500,2441.0500,2394.0000,2406.9500,114745
2023-06-20,2429.8000,2433.8000,2389.4500,2413.5500,207783
2023-06-19,2505.0000,2521.5500,2350.0000,2403.8000,342489
2023-06-16,2496.0000,2524.9000,2487.2000,2506.6500,168867
2023-06-15,2465.0500,2527.7500,2461.9000,2485.3000,170371
2023-06-14,2463.2000,2484.0000,2453.0000,2456.9500,84039
2023-06-13,2497.0000,2504.7000,2443.0500,2462.4000,203732
2023-06-12,2462.0000,2504.9500,2433.4000,2486.2000,127510
2023-06-09,2440.1000,2458.3500,2428.0000,2450.9000,104778
2023-06-08,2453.0000,2475.0000,2370.2500,2428.8500,383627
2023-06-07,2445.0500,2467.2500,2435.0000,2439.8000,262295
2023-06-06,2470.5500,2507.0000,2426.5500,2433.7000,292511
2023-06-05,2465.0000,2514.0000,2428.0000,2433.9500,116192
2023-06-02,2525.0500,2535.0000,2425.8000,2444.9500,297089
2023-06-01,2495.0000,2535.7000,2484.7500,2492.2500,165318
2023-05-31,2482.3000,2573.0000,2427.3500,2494.2500,190746
2023-05-30,2536.0000,2552.4000,2475.6500,2495.4000,74028
2023-05-29,2555.0500,2583.5000,2525.0000,2533.6000,125716
2023-05-26,2564.0000,2600.0000,2533.5000,2543.3500,174248
2023-05-25,2437.0000,2559.0000,2385.3500,2536.1000,835480
2023-05-24,2725.0000,2751.2500,2425.8500,2476.9000,1929079
2023-05-23,2427.0000,2736.1500,2400.1500,2632.2500,2033861
2023-05-22,2017.0000,2344.5000,1985.0000,2325.5500,3189754
2023-05-19,1892.0000,1982.3500,1873.6000,1956.9000,453823
2023-05-18,1917.9000,1919.9000,1881.0000,1888.0500,249195
2023-05-17,1892.1500,1920.0000,1858.9500,1899.6000,259730
2023-05-16,1929.0000,1934.8000,1880.4000,1887.8000,262694
2023-05-15,1964.0000,1964.0000,1878.9000,1915.7500,462850
2023-05-12,2010.0000,2011.8500,1947.4500,1964.8000,235433
2023-05-11,1923.0000,2013.5000,1916.6500,1984.6000,438941
2023-05-10,1902.9500,1914.7500,1884.1500,1892.1000,125260
2023-05-09,1895.3500,1929.9500,1888.7500,1895.1500,306783
2023-05-08,1925.0000,1925.0000,1875.0000,1887.6500,315301
2023-05-05,1965.0000,1965.0000,1903.3500,1921.0500,413670
2023-05-04,1849.9500,1935.0000,1841.0000,1909.3000,294131
2023-05-03,1921.0500,1939.0000,1786.1000,1838.5500,656054
2023-05-02,1933.6000,1965.7000,1907.5500,1920.0500,240923
2023-04-28,1860.0500,1943.9000,1858.6000,1923.9000,294066
2023-04-27,1845.0000,1864.0000,1833.9000,1852.6500,153147
2023-04-26,1852.0000,1873.8500,1826.6000,1848.0000,277719
2023-04-25,1803.0000,1913.6000,1802.3000,1845.4500,462780
2023-04-24,1801.0000,1817.3000,1775.8000,1802.3000,92752
2023-04-21,1848.0000,1852.1500,1796.6500,1802.3500,98433
2023-04-20,1853.2500,1878.9500,1836.7000,1842.8500,88663
2023-04-19,1843.0500,1877.8500,1835.1000,1853.2500,117863
2023-04-18,1887.0000,1901.9500,1830.0000,1850.5000,233141
2023-04-17,1861.0500,1905.0000,1847.0000,1879.3000,131744
2023-04-13,1854.0000,1884.6000,1825.7000,1870.0500,345592
2023-04-12,1810.1000,1858.4500,1796.9000,1847.3000,203558
2023-04-11,1805.0500,1828.6000,1792.0000,1802.3000,273309
2023-04-10,1768.0500,1812.0000,1762.9500,1797.3000,207749
2023-04-06,1707.0000,1793.0000,1688.7000,1752.9500,270986
2023-04-05,1712.6500,1737.8500,1671.9000,1697.9000,298447
2023-04-03,1748.0000,1752.7000,1695.7500,1717.5500,164552
2023-03-31,1779.0000,1824.7500,1739.0000,1750.0000,459249
2023-03-29,1595.0000,1755.0000,1590.4000,1741.6500,783405
2023-03-28,1725.6000,1733.3000,1573.0000,1601.5500,727298
